EU countries,Answer: More important,% More important,Answer: Less important,% Less important,Answer: n/a,% n/a,Total,Priority
EU28,21594,0.8,5001,0.18,548,0.02,27144,Research and innovation
Belgium,763,0.76,231,0.23,13,0.01,1007,Research and innovation
Bulgaria,709,0.71,230,0.23,60,0.06,1000,Research and innovation
Czechia,750,0.75,223,0.22,27,0.03,1000,Research and innovation
Denmark,798,0.8,168,0.17,34,0.03,1000,Research and innovation
Germany,816,0.82,176,0.17,8,0.01,1000,Research and innovation
Estonia,772,0.77,164,0.16,64,0.07,1000,Research and innovation
Ireland,689,0.69,292,0.29,19,0.02,1000,Research and innovation
Greece,772,0.77,200,0.2,28,0.03,1000,Research and innovation
Spain,878,0.88,104,0.1,17,0.02,1000,Research and innovation
France,764,0.76,223,0.22,15,0.02,1002,Research and innovation
Croatia,804,0.8,182,0.18,15,0.02,1001,Research and innovation
Italy,932,0.93,66,0.07,2,,1000,Research and innovation
Cyprus,503,0.72,176,0.25,21,0.03,700,Research and innovation
Latvia,614,0.61,320,0.32,65,0.07,1000,Research and innovation
Lithuania,789,0.79,168,0.17,43,0.04,1001,Research and innovation
Luxembourg,555,0.79,138,0.2,7,0.01,700,Research and innovation
Hungary,855,0.85,138,0.14,15,0.01,1008,Research and innovation
Malta,615,0.87,77,0.11,16,0.02,708,Research and innovation
Netherlands,752,0.75,231,0.23,24,0.02,1007,Research and innovation
Austria,812,0.81,175,0.18,13,0.01,1000,Research and innovation
Poland,818,0.82,168,0.17,15,0.01,1000,Research and innovation
Portugal,836,0.84,131,0.13,33,0.03,1000,Research and innovation
Romania,706,0.71,271,0.27,23,0.02,1000,Research and innovation
Slovenia,779,0.78,198,0.2,24,0.02,1001,Research and innovation
Slovakia,802,0.8,176,0.17,27,0.03,1005,Research and innovation
Finland,770,0.77,207,0.21,26,0.02,1003,Research and innovation
Sweden,815,0.81,169,0.17,17,0.02,1001,Research and innovation
United Kingdom,658,0.66,290,0.29,52,0.05,1000,Research and innovation
EU28,22012,0.81,4696,0.17,436,0.02,27144,Support for small and medium-sized businesses
Belgium,752,0.75,247,0.24,7,0.01,1007,Support for small and medium-sized businesses
Bulgaria,890,0.89,92,0.09,19,0.02,1000,Support for small and medium-sized businesses
Czechia,802,0.8,176,0.18,22,0.02,1000,Support for small and medium-sized businesses
Denmark,565,0.57,372,0.37,63,0.06,1000,Support for small and medium-sized businesses
Germany,787,0.79,200,0.2,13,0.01,1000,Support for small and medium-sized businesses
Estonia,736,0.74,211,0.21,53,0.05,1000,Support for small and medium-sized businesses
Ireland,838,0.84,152,0.15,10,0.01,1000,Support for small and medium-sized businesses
Greece,867,0.87,127,0.13,6,,1000,Support for small and medium-sized businesses
Spain,878,0.88,114,0.11,8,0.01,1000,Support for small and medium-sized businesses
France,817,0.82,175,0.17,10,0.01,1002,Support for small and medium-sized businesses
Croatia,906,0.9,87,0.09,7,0.01,1001,Support for small and medium-sized businesses
Italy,887,0.89,101,0.1,12,0.01,1000,Support for small and medium-sized businesses
Cyprus,610,0.87,83,0.12,8,0.01,700,Support for small and medium-sized businesses
Latvia,850,0.85,137,0.14,13,0.01,1000,Support for small and medium-sized businesses
Lithuania,790,0.79,147,0.15,64,0.06,1001,Support for small and medium-sized businesses
Luxembourg,549,0.79,142,0.2,9,0.01,700,Support for small and medium-sized businesses
Hungary,859,0.85,133,0.13,16,0.02,1008,Support for small and medium-sized businesses
Malta,611,0.86,87,0.12,11,0.02,708,Support for small and medium-sized businesses
Netherlands,612,0.61,363,0.36,32,0.03,1007,Support for small and medium-sized businesses
Austria,893,0.89,96,0.1,11,0.01,1000,Support for small and medium-sized businesses
Poland,840,0.84,138,0.14,22,0.02,1000,Support for small and medium-sized businesses
Portugal,889,0.89,89,0.09,21,0.02,1000,Support for small and medium-sized businesses
Romania,789,0.79,190,0.19,21,0.02,1000,Support for small and medium-sized businesses
Slovenia,814,0.81,157,0.16,29,0.03,1001,Support for small and medium-sized businesses
Slovakia,754,0.75,227,0.23,24,0.02,1005,Support for small and medium-sized businesses
Finland,743,0.74,232,0.23,28,0.03,1003,Support for small and medium-sized businesses
Sweden,588,0.59,384,0.38,30,0.03,1001,Support for small and medium-sized businesses
United Kingdom,777,0.78,204,0.2,19,0.02,1000,Support for small and medium-sized businesses
EU28,23596,0.87,3107,0.11,442,0.02,27144,Renewable and clean energy
Belgium,867,0.86,123,0.12,17,0.02,1007,Renewable and clean energy
Bulgaria,711,0.71,221,0.22,68,0.07,1000,Renewable and clean energy
